mercado_name,mes,agente_name,vtpui_miles_millones_cop,recaudo_propio_miles_millones_cop,giros_recibidos_miles_millones_cop,pct_apalancamiento_cior,param_rcpui,param_competitivo,param_cfpui
,2024-09-01,ENEL COLOMBIA SA ESP,4.657137113876085e-05,4.657137113876085e-05,0,2073695.1916363651,0.03,f,0.025
,2025-01-01,ENEL COLOMBIA SA ESP,4.249419100717133e-05,4.249419100717133e-05,0,2055936.0572651422,0.03,f,0.025
,2025-06-01,ENEL COLOMBIA SA ESP,4.7572922276823025e-05,4.7572922276823025e-05,0,2054487.2523411596,0.03,f,0.025
,2024-12-01,ENEL COLOMBIA SA ESP,4.599339748947059e-05,4.599339748947059e-05,0,2048918.7388140948,0.03,f,0.025
,2025-03-01,ENEL COLOMBIA SA ESP,4.586743774788022e-05,4.586743774788022e-05,0,2041773.3549510383,0.03,f,0.025
,2026-03-01,ENEL COLOMBIA SA ESP,4.804002224144331e-05,4.804002224144331e-05,0,2040695.0157741972,0.03,f,0.025
,2025-05-01,ENEL COLOMBIA SA ESP,4.863746315887465e-05,4.863746315887465e-05,0,2038513.8589760237,0.03,f,0.025
,2025-02-01,ENEL COLOMBIA SA ESP,4.637829754421115e-05,4.637829754421115e-05,0,2026082.1504510643,0.03,f,0.025
,2025-04-01,ENEL COLOMBIA SA ESP,4.3465322516580016e-05,4.3465322516580016e-05,0,2019909.2090242058,0.03,f,0.025
,2025-03-01,ENEL COLOMBIA SA ESP,4.586746683091593e-05,4.586746683091593e-05,0,2015676.694628844,0.03,f,0.025
,2024-08-01,ENEL COLOMBIA SA ESP,4.3816434363963257e-05,4.3816434363963257e-05,0,2011631.0865985684,0.03,f,0.025
,2024-10-01,ENEL COLOMBIA SA ESP,4.5968722336035405e-05,4.5968722336035405e-05,0,2007714.7311168716,0.03,f,0.025
,2024-04-01,ENEL COLOMBIA SA ESP,4.376582038817276e-05,4.376582038817276e-05,0,2007166.7391419443,0.03,f,0.025
,2024-07-01,ENEL COLOMBIA SA ESP,4.659141786133988e-05,4.659141786133988e-05,0,2006963.9577129767,0.03,f,0.025
,2024-03-01,ENEL COLOMBIA SA ESP,4.805572788703904e-05,4.805572788703904e-05,0,1992863.0208496815,0.03,f,0.025
,2024-06-01,ENEL COLOMBIA SA ESP,4.667880630381637e-05,4.667880630381637e-05,0,1990483.4611313164,0.03,f,0.025
